timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718977398404,403,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,114,0,10,10,null,1,0,5
1718977399405,220,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,114,0,12,12,null,38,0,2
1718977399406,368,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,114,0,12,12,null,40,0,2
1718977399775,59,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,114,0,12,12,null,37,0,1
1718977399628,300,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,114,0,12,12,null,37,0,5
1718977399929,272,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,114,0,12,12,null,22,0,4
1718977400202,155,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,114,0,12,12,null,48,0,2
1718977400202,334,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,114,0,11,11,null,36,0,4
1718977401253,72,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,114,0,10,10,null,19,0,3
1718977401253,180,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,114,0,9,9,null,44,0,1
1718977401253,370,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,114,0,8,8,null,49,0,5
1718977401507,149,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,114,0,7,7,null,27,0,3
1718977401507,362,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,114,0,6,6,null,35,0,1
1718977401507,375,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,114,0,5,5,null,48,0,3
1718977401871,162,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,114,0,4,4,null,42,0,5
1718977401871,353,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,114,0,3,3,null,25,0,4
1718977401871,359,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,114,0,2,2,null,13,0,1
1718977401871,429,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,114,0,1,1,null,44,0,2
1718977402303,284,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,114,0,1,1,null,30,0,2
1718977402589,303,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,114,0,1,1,null,42,0,2
1718977402892,256,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,114,0,1,1,null,1,0,5
1718977403238,119,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,114,0,4,4,null,19,0,4
1718977403237,129,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,114,0,4,4,null,32,0,4
1718977403329,54,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,114,0,4,4,null,32,0,2
1718977403458,141,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,114,0,4,4,null,27,0,2
1718977403151,488,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,114,0,4,4,null,32,0,5
1718977403640,64,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,114,0,4,4,null,32,0,2
1718977403367,467,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,114,0,4,4,null,42,0,5
1718977403731,167,jp@gc - Dummy Sampler,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,114,0,4,4,null,43,0,3
